player_name,season,wk,Game_date,OPP,Result,AST,PDEF,page_url
Deshaun Watson,Regular Season,2,09/20/2020,Ravens,L 16 - 33,275,1,https://www.nfl.com/players/deshaun-watson/stats/logs/
Deshaun Watson,Regular Season,6,10/18/2020,Titans,L 36 - 42,335,0,https://www.nfl.com/players/deshaun-watson/stats/logs/
Deshaun Watson,Regular Season,1,09/11/2020,Chiefs,L 20 - 34,253,1,https://www.nfl.com/players/deshaun-watson/stats/logs/
Deshaun Watson,Regular Season,5,10/11/2020,Jaguars,W 30 - 14,359,2,https://www.nfl.com/players/deshaun-watson/stats/logs/
Deshaun Watson,Regular Season,4,10/04/2020,Vikings,L 23 - 31,300,0,https://www.nfl.com/players/deshaun-watson/stats/logs/
Deshaun Watson,Regular Season,3,09/27/2020,Steelers,L 21 - 28,264,1,https://www.nfl.com/players/deshaun-watson/stats/logs/
Josh Watson,Regular Season,17,01/03/2021,Raiders,L 31 - 32,0,0,https://www.nfl.com/players/josh-watson/stats/logs/
Josh Watson,Regular Season,15,12/19/2020,Bills,L 19 - 48,0,0,https://www.nfl.com/players/josh-watson/stats/logs/
Josh Watson,Regular Season,14,12/13/2020,Panthers,W 32 - 27,,,https://www.nfl.com/players/josh-watson/stats/logs/
Josh Watson,Regular Season,13,12/07/2020,Chiefs,L 16 - 22,,,https://www.nfl.com/players/josh-watson/stats/logs/
Josh Watson,Regular Season,12,11/29/2020,Saints,L 3 - 31,,,https://www.nfl.com/players/josh-watson/stats/logs/
Josh Watson,Regular Season,11,11/22/2020,Dolphins,W 20 - 13,,,https://www.nfl.com/players/josh-watson/stats/logs/
Josh Watson,Regular Season,10,11/15/2020,Raiders,L 12 - 37,0,0,https://www.nfl.com/players/josh-watson/stats/logs/
Josh Watson,Regular Season,6,10/18/2020,Patriots,W 18 - 12,,,https://www.nfl.com/players/josh-watson/stats/logs/
Josh Watson,Regular Season,4,10/02/2020,Jets,W 37 - 28,,,https://www.nfl.com/players/josh-watson/stats/logs/
Armon Watts,Regular Season,17,01/03/2021,Lions,W 37 - 35,,,https://www.nfl.com/players/armon-watts/stats/logs/
Armon Watts,Regular Season,16,12/25/2020,Saints,L 33 - 52,2,0,https://www.nfl.com/players/armon-watts/stats/logs/
Armon Watts,Regular Season,15,12/20/2020,Bears,L 27 - 33,1,0,https://www.nfl.com/players/armon-watts/stats/logs/
Armon Watts,Regular Season,14,12/13/2020,Buccaneers,L 14 - 26,1,0,https://www.nfl.com/players/armon-watts/stats/logs/
Armon Watts,Regular Season,13,12/06/2020,Jaguars,W 27 - 24,1,0,https://www.nfl.com/players/armon-watts/stats/logs/
Armon Watts,Regular Season,12,11/29/2020,Panthers,W 28 - 27,3,0,https://www.nfl.com/players/armon-watts/stats/logs/
Armon Watts,Regular Season,11,11/22/2020,Cowboys,L 28 - 31,1,0,https://www.nfl.com/players/armon-watts/stats/logs/
Armon Watts,Regular Season,10,11/17/2020,Bears,W 19 - 13,0,0,https://www.nfl.com/players/armon-watts/stats/logs/
Armon Watts,Regular Season,9,11/08/2020,Lions,W 34 - 20,3,0,https://www.nfl.com/players/armon-watts/stats/logs/
Armon Watts,Regular Season,8,11/01/2020,Packers,W 28 - 22,1,0,https://www.nfl.com/players/armon-watts/stats/logs/
Armon Watts,Regular Season,6,10/18/2020,Falcons,L 23 - 40,3,0,https://www.nfl.com/players/armon-watts/stats/logs/
Armon Watts,Regular Season,5,10/12/2020,Seahawks,L 26 - 27,1,0,https://www.nfl.com/players/armon-watts/stats/logs/
Armon Watts,Regular Season,4,10/04/2020,Texans,W 31 - 23,1,0,https://www.nfl.com/players/armon-watts/stats/logs/
Armon Watts,Regular Season,3,09/27/2020,Titans,L 30 - 31,,,https://www.nfl.com/players/armon-watts/stats/logs/
Armon Watts,Regular Season,2,09/20/2020,Colts,L 11 - 28,0,0,https://www.nfl.com/players/armon-watts/stats/logs/
Armon Watts,Regular Season,1,09/13/2020,Packers,L 34 - 43,1,0,https://www.nfl.com/players/armon-watts/stats/logs/
Justin Watson,Regular Season,17,01/03/2021,Falcons,W 44 - 27,,,https://www.nfl.com/players/justin-watson/stats/logs/
Justin Watson,Regular Season,16,12/26/2020,Lions,W 47 - 7,,,https://www.nfl.com/players/justin-watson/stats/logs/
Justin Watson,Regular Season,15,12/20/2020,Falcons,W 31 - 27,,,https://www.nfl.com/players/justin-watson/stats/logs/
Justin Watson,Regular Season,14,12/13/2020,Vikings,W 26 - 14,,,https://www.nfl.com/players/justin-watson/stats/logs/
Justin Watson,Regular Season,12,11/29/2020,Chiefs,L 24 - 27,,,https://www.nfl.com/players/justin-watson/stats/logs/
Justin Watson,Regular Season,11,11/24/2020,Rams,L 24 - 27,,,https://www.nfl.com/players/justin-watson/stats/logs/
Justin Watson,Regular Season,10,11/15/2020,Panthers,W 46 - 23,,,https://www.nfl.com/players/justin-watson/stats/logs/
Justin Watson,Regular Season,9,11/09/2020,Saints,L 3 - 38,,,https://www.nfl.com/players/justin-watson/stats/logs/
Justin Watson,Regular Season,8,11/03/2020,Giants,W 25 - 23,,,https://www.nfl.com/players/justin-watson/stats/logs/
Justin Watson,Regular Season,3,09/27/2020,Broncos,W 28 - 10,,,https://www.nfl.com/players/justin-watson/stats/logs/
Justin Watson,Regular Season,7,10/25/2020,Raiders,W 45 - 20,,,https://www.nfl.com/players/justin-watson/stats/logs/
Justin Watson,Regular Season,2,09/20/2020,Panthers,W 31 - 17,24,,https://www.nfl.com/players/justin-watson/stats/logs/
Justin Watson,Regular Season,6,10/18/2020,Packers,W 38 - 10,,,https://www.nfl.com/players/justin-watson/stats/logs/
Justin Watson,Regular Season,1,09/13/2020,Saints,L 23 - 34,6,,https://www.nfl.com/players/justin-watson/stats/logs/
Justin Watson,Regular Season,5,10/09/2020,Bears,L 19 - 20,,,https://www.nfl.com/players/justin-watson/stats/logs/
Justin Watson,Regular Season,4,10/04/2020,Chargers,W 38 - 31,10,,https://www.nfl.com/players/justin-watson/stats/logs/
Justin Watson,Post Season,2,01/17/2021,Saints,W 30 - 20,,,https://www.nfl.com/players/justin-watson/stats/logs/
Justin Watson,Post Season,1,01/10/2021,Football Team,W 31 - 23,,,https://www.nfl.com/players/justin-watson/stats/logs/
Derek Watt,Regular Season,17,01/03/2021,Browns,L 22 - 24,,,https://www.nfl.com/players/derek-watt/stats/logs/
Derek Watt,Regular Season,16,12/27/2020,Colts,W 28 - 24,,,https://www.nfl.com/players/derek-watt/stats/logs/
Derek Watt,Regular Season,15,12/22/2020,Bengals,L 17 - 27,,,https://www.nfl.com/players/derek-watt/stats/logs/
Derek Watt,Regular Season,14,12/14/2020,Bills,L 15 - 26,,,https://www.nfl.com/players/derek-watt/stats/logs/
Derek Watt,Regular Season,13,12/07/2020,Football Team,L 17 - 23,,,https://www.nfl.com/players/derek-watt/stats/logs/
Derek Watt,Regular Season,12,12/02/2020,Ravens,W 19 - 14,,,https://www.nfl.com/players/derek-watt/stats/logs/
Derek Watt,Regular Season,11,11/22/2020,Jaguars,W 27 - 3,,,https://www.nfl.com/players/derek-watt/stats/logs/
Derek Watt,Regular Season,10,11/15/2020,Bengals,W 36 - 10,,,https://www.nfl.com/players/derek-watt/stats/logs/
Derek Watt,Regular Season,9,11/08/2020,Cowboys,W 24 - 19,,,https://www.nfl.com/players/derek-watt/stats/logs/
Derek Watt,Regular Season,8,11/01/2020,Ravens,W 28 - 24,,,https://www.nfl.com/players/derek-watt/stats/logs/
Derek Watt,Regular Season,7,10/25/2020,Titans,W 27 - 24,,,https://www.nfl.com/players/derek-watt/stats/logs/
